disorder,prop_disorder,n_agents,p,s,m,n,dict_get_mode,dict_return_mode,avg_demand,avg_util,max_prop_disorder,max_disorder,scenario,run_time
1,0.005555555555555556,162,0.05,3,60,3,{'random': 1},{'random': 1},4.5,0.5,0.03333333333333334,6.000000000000001,random,0.25531506538391113
2,0.011111111111111112,243,0.05,3,60,3,{'random': 1},{'random': 1},6.75,0.75,0.03333333333333334,6.000000000000001,random,0.34359312057495117
1,0.005555555555555556,243,0.05,3,60,3,{'random': 1},{'random': 1},6.75,0.75,0.03333333333333334,6.000000000000001,random,0.34359312057495117
1,0.005555555555555556,243,0.05,3,60,3,{'random': 1},{'random': 1},6.75,0.75,0.03333333333333334,6.000000000000001,random,0.34359312057495117
1,0.005555555555555556,243,0.05,3,60,3,{'random': 1},{'random': 1},6.75,0.75,0.03333333333333334,6.000000000000001,random,0.34359312057495117
3,0.016666666666666666,324,0.05,3,60,3,{'random': 1},{'random': 1},9.0,1.0,0.03333333333333334,6.000000000000001,random,0.33515000343322754
1,0.005555555555555556,324,0.05,3,60,3,{'random': 1},{'random': 1},9.0,1.0,0.03333333333333334,6.000000000000001,random,0.33515000343322754
2,0.011111111111111112,324,0.05,3,60,3,{'random': 1},{'random': 1},9.0,1.0,0.03333333333333334,6.000000000000001,random,0.33515000343322754
0,0.0,324,0.05,3,60,3,{'random': 1},{'random': 1},9.0,1.0,0.03333333333333334,6.000000000000001,random,0.33515000343322754
2,0.03333333333333333,54,0.1,3,20,2,{'random': 1},{'random': 1},1.5,0.25,0.06666666666666668,4.000000000000001,random,0.08875751495361328
1,0.016666666666666666,54,0.1,3,20,2,{'random': 1},{'random': 1},1.5,0.25,0.06666666666666668,4.000000000000001,random,0.08875751495361328
1,0.016666666666666666,54,0.1,3,20,2,{'random': 1},{'random': 1},1.5,0.25,0.06666666666666668,4.000000000000001,random,0.08875751495361328
1,0.016666666666666666,54,0.1,3,20,2,{'random': 1},{'random': 1},1.5,0.25,0.06666666666666668,4.000000000000001,random,0.08875751495361328
1,0.016666666666666666,108,0.1,3,20,2,{'random': 1},{'random': 1},3.0,0.5,0.06666666666666668,4.000000000000001,random,0.12665891647338867
1,0.016666666666666666,108,0.1,3,20,2,{'random': 1},{'random': 1},3.0,0.5,0.06666666666666668,4.000000000000001,random,0.12665891647338867
2,0.03333333333333333,108,0.1,3,20,2,{'random': 1},{'random': 1},3.0,0.5,0.06666666666666668,4.000000000000001,random,0.12665891647338867
2,0.03333333333333333,108,0.1,3,20,2,{'random': 1},{'random': 1},3.0,0.5,0.06666666666666668,4.000000000000001,random,0.12665891647338867
2,0.03333333333333333,162,0.1,3,20,2,{'random': 1},{'random': 1},4.5,0.75,0.06666666666666668,4.000000000000001,random,0.1785721778869629
2,0.03333333333333333,162,0.1,3,20,2,{'random': 1},{'random': 1},4.5,0.75,0.06666666666666668,4.000000000000001,random,0.1785721778869629
1,0.016666666666666666,162,0.1,3,20,2,{'random': 1},{'random': 1},4.5,0.75,0.06666666666666668,4.000000000000001,random,0.1785721778869629
0,0.0,162,0.1,3,20,2,{'random': 1},{'random': 1},4.5,0.75,0.06666666666666668,4.000000000000001,random,0.1785721778869629
3,0.05,216,0.1,3,20,2,{'random': 1},{'random': 1},6.0,1.0,0.06666666666666668,4.000000000000001,random,0.20943713188171387
1,0.016666666666666666,216,0.1,3,20,2,{'random': 1},{'random': 1},6.0,1.0,0.06666666666666668,4.000000000000001,random,0.20943713188171387
1,0.016666666666666666,216,0.1,3,20,2,{'random': 1},{'random': 1},6.0,1.0,0.06666666666666668,4.000000000000001,random,0.20943713188171387
1,0.016666666666666666,216,0.1,3,20,2,{'random': 1},{'random': 1},6.0,1.0,0.06666666666666668,4.000000000000001,random,0.20943713188171387
0,0.0,108,0.1,3,40,4,{'random': 1},{'random': 1},3.0,0.25,0.06666666666666668,8.000000000000002,random,0.12761926651000977
4,0.03333333333333333,108,0.1,3,40,4,{'random': 1},{'random': 1},3.0,0.25,0.06666666666666668,8.000000000000002,random,0.12761926651000977
2,0.016666666666666666,108,0.1,3,40,4,{'random': 1},{'random': 1},3.0,0.25,0.06666666666666668,8.000000000000002,random,0.12761926651000977
1,0.008333333333333333,108,0.1,3,40,4,{'random': 1},{'random': 1},3.0,0.25,0.06666666666666668,8.000000000000002,random,0.12761926651000977
1,0.008333333333333333,216,0.1,3,40,4,{'random': 1},{'random': 1},6.0,0.5,0.06666666666666668,8.000000000000002,random,0.2389214038848877
3,0.025,216,0.1,3,40,4,{'random': 1},{'random': 1},6.0,0.5,0.06666666666666668,8.000000000000002,random,0.2389214038848877
2,0.016666666666666666,216,0.1,3,40,4,{'random': 1},{'random': 1},6.0,0.5,0.06666666666666668,8.000000000000002,random,0.2389214038848877
2,0.016666666666666666,216,0.1,3,40,4,{'random': 1},{'random': 1},6.0,0.5,0.06666666666666668,8.000000000000002,random,0.2389214038848877
1,0.008333333333333333,324,0.1,3,40,4,{'random': 1},{'random': 1},9.0,0.75,0.06666666666666668,8.000000000000002,random,0.3340935707092285
1,0.008333333333333333,324,0.1,3,40,4,{'random': 1},{'random': 1},9.0,0.75,0.06666666666666668,8.000000000000002,random,0.3340935707092285
2,0.016666666666666666,324,0.1,3,40,4,{'random': 1},{'random': 1},9.0,0.75,0.06666666666666668,8.000000000000002,random,0.3340935707092285
4,0.03333333333333333,324,0.1,3,40,4,{'random': 1},{'random': 1},9.0,0.75,0.06666666666666668,8.000000000000002,random,0.3340935707092285
